=== TAXONOMY SUMMARY ===
Model,Full Name,Main Labels,Sub Labels,Leaf Labels,Total Words,Entropy (bits),Max Group Share,Max Leaf,Leaf Min,Leaf Max,Leaf Mean
Gemini,Gemini 2.5 Pro,4,11,33,570,4.904,0.0544,ดนตรีและบทเพลง,4,31,17.3
GPT,GPT-4.1,4,11,36,402,4.877,0.0697,กษัตริย์และตัวละครหลัก,1,28,11.2
Qwen,Qwen3-235B-A22B,4,11,30,112,4.625,0.0893,เทพ เทวดา และสิ่งศักดิ์สิทธิ์,1,10,3.7
DeepSeek,DeepSeek-R1-0528,5,13,35,558,4.918,0.0538,กลุ่มชนและเชื้อชาติ,1,30,15.9

=== KEYWORD MAPPING SWEEP ===
Threshold,TP,FP,FN,Precision,Recall,F1,Items Mapped,%Items Mapped,Total KW-Item Pairs,Mean KW/Item,Unique KW Used,%KW Used,Unmapped Words,Unmapped Items
70,862,1646,9,0.3437,0.9897,0.5102,114,99.1,2655,23.29,570,100.0,0,0
75,861,1240,10,0.4098,0.9885,0.5794,114,99.1,2218,19.46,570,100.0,0,0
80,855,451,16,0.6547,0.9816,0.7855,114,99.1,1377,12.08,570,100.0,0,0
85,848,197,23,0.8115,0.9736,0.8852,114,99.1,1098,9.63,570,100.0,0,0
90,845,175,26,0.8284,0.9701,0.8937,114,99.1,1071,9.39,570,100.0,0,0
95,833,169,38,0.8313,0.9564,0.8895,114,99.1,1053,9.24,569,99.8,1,0
