MAX_CANDS,model_family,Model,model_name,cov_mean,cov_std,ndcg_mean,ndcg_std,hr_mean,hr_std,mrr_mean,mrr_std,feasible_cases_mean,n_seeds_success,Coverage,nDCG@10,HR@10,MRR@10
100,CF,CF-SVD,SVD,1.0,0.0,0.7065976129689714,0.024682468851512762,0.9512820512820512,0.015437941767682426,0.6289102564102566,0.02826417362789509,156.0,5,1.0000±0.0000,0.7066±0.0247,0.9513±0.0154,0.6289±0.0283
100,CF,CF-NCF,NCF,1.0,0.0,0.577875485241363,0.047296176613023704,0.8102564102564103,0.05744247901851247,0.5066748066748067,0.044787793934492386,156.0,5,1.0000±0.0000,0.5779±0.0473,0.8103±0.0574,0.5067±0.0448
100,CF,CF-ItemKNN,ItemKNN,1.0,0.0,0.391905651814069,0.023277406458766,0.7243589743589743,0.03737789676182887,0.2881462141714584,0.01938548957401363,156.0,5,1.0000±0.0000,0.3919±0.0233,0.7244±0.0374,0.2881±0.0194
100,POP,POP-Context,ContextMostPopular,1.0,0.0,0.22759274567822824,0.025930047745572605,0.4076923076923077,0.03159937831760575,0.1727102014706206,0.025198250228668295,156.0,5,1.0000±0.0000,0.2276±0.0259,0.4077±0.0316,0.1727±0.0252
100,POP,POP-Global,GlobalMostPopular,1.0,0.0,0.22759274567822824,0.025930047745572605,0.4076923076923077,0.03159937831760575,0.1727102014706206,0.025198250228668295,156.0,5,1.0000±0.0000,0.2276±0.0259,0.4077±0.0316,0.1727±0.0252
200,CBF,CBF-bge-m3,bge-m3,1.0,0.0,0.8632820418890532,0.015135648444227838,0.9974358974358974,0.005733507634614825,0.8195517908017906,0.020839097008546636,156.0,5,1.0000±0.0000,0.8633±0.0151,0.9974±0.0057,0.8196±0.0208
200,CBF,CBF-multilingual-e5-large,multilingual-e5-large,1.0,0.0,0.8618423076344032,0.011031813211461228,0.9961538461538462,0.0035110420352895137,0.8176053113553113,0.015156759501749141,156.0,5,1.0000±0.0000,0.8618±0.0110,0.9962±0.0035,0.8176±0.0152
200,HYBRID,Hybrid-multilingual-e5-large-LightGCN,Hybrid-multilingual-e5-large-LightGCN,1.0,0.0,0.8259060244203542,0.02751348647739522,0.9820512820512821,0.013137116366614864,0.7742501942501943,0.03374477810681599,156.0,5,1.0000±0.0000,0.8259±0.0275,0.9821±0.0131,0.7743±0.0337
200,CBF,CBF-paraphrase-multilingual-mpnet-base-v2,paraphrase-multilingual-mpnet-base-v2,1.0,0.0,0.7536299384134262,0.029896891755181666,0.9679487179487178,0.012820512820512775,0.686567969067969,0.039165647105442215,156.0,5,1.0000±0.0000,0.7536±0.0299,0.9679±0.0128,0.6866±0.0392
200,CF,CF-LightGCN,LightGCN,1.0,0.0,0.7370177805163662,0.026271268951159804,0.9692307692307691,0.008357951801541827,0.6627665852665852,0.03260784739452203,156.0,5,1.0000±0.0000,0.7370±0.0263,0.9692±0.0084,0.6628±0.0326
200,CBF,CBF-wangchanberta-base-att-spm-uncased,wangchanberta-base-att-spm-uncased,1.0,0.0,0.7163109885141841,0.015167319316098564,0.9564102564102563,0.01313711636661487,0.6403846153846154,0.02178764860300405,156.0,5,1.0000±0.0000,0.7163±0.0152,0.9564±0.0131,0.6404±0.0218
200,CBF,CBF-Qwen2-0.5B,Qwen2-0.5B,1.0,0.0,0.703699372057841,0.016479475801653577,0.9538461538461538,0.0083579518015419,0.6247160435508852,0.02069885153029777,156.0,5,1.0000±0.0000,0.7037±0.0165,0.9538±0.0084,0.6247±0.0207
200,CF,CF-SVD,SVD,1.0,0.0,0.6993178912543374,0.016131885252618466,0.9564102564102563,0.015304277418350437,0.6180799755799755,0.02088406954629081,156.0,5,1.0000±0.0000,0.6993±0.0161,0.9564±0.0153,0.6181±0.0209
200,CF,CF-NCF,NCF,1.0,0.0,0.5734642929621907,0.043217347134758416,0.8038461538461539,0.04044053921945514,0.5026546601546602,0.044417110084306946,156.0,5,1.0000±0.0000,0.5735±0.0432,0.8038±0.0404,0.5027±0.0444
200,CF,CF-ItemKNN,ItemKNN,1.0,0.0,0.39360700056341225,0.01879498625258441,0.7217948717948718,0.03410111814941123,0.29119960994127486,0.014883295010985917,156.0,5,1.0000±0.0000,0.3936±0.0188,0.7218±0.0341,0.2912±0.0149
200,POP,POP-Context,ContextMostPopular,1.0,0.0,0.22759274567822824,0.025930047745572605,0.4076923076923077,0.03159937831760575,0.1727102014706206,0.025198250228668295,156.0,5,1.0000±0.0000,0.2276±0.0259,0.4077±0.0316,0.1727±0.0252
200,POP,POP-Global,GlobalMostPopular,1.0,0.0,0.22759274567822824,0.025930047745572605,0.4076923076923077,0.03159937831760575,0.1727102014706206,0.025198250228668295,156.0,5,1.0000±0.0000,0.2276±0.0259,0.4077±0.0316,0.1727±0.0252
