model_family,Model,model_name,MAX_CANDS,user_bin,nDCG10_mean,nDCG10_std,HR10_mean,HR10_std,MRR10_mean,MRR10_std,n_users,n_interactions,feasible_cases,total_cases,n_seeds_success,bin_rule,nDCG@10,HR@10,MRR@10
HYBRID,Hybrid-Best,Hybrid-Best,50,cold,0.8336009594626207,0.24237575153929877,0.9876106194690265,0.110713949484386,0.7825460036521983,0.30831305477925175,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.8336±0.2424,0.9876,0.7825
HYBRID,Hybrid-Best,Hybrid-Best,50,heavy,0.8720883236619774,0.20805880598795076,1.0,0.0,0.8291666666666667,0.27559366432502025,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.8721±0.2081,1.0000,0.8292
HYBRID,Hybrid-Best,Hybrid-Best,50,mid,0.819333492555993,0.2323735819691629,0.9945945945945946,0.07352146220938077,0.7604633204633204,0.30285574527142606,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.8193±0.2324,0.9946,0.7605
HYBRID,Hybrid-Best,Hybrid-Best,100,cold,0.8467225661614427,0.24458600194496374,0.9823008849557522,0.1319722787458468,0.8018394437420986,0.305854084565396,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.8467±0.2446,0.9823,0.8018
HYBRID,Hybrid-Best,Hybrid-Best,100,heavy,0.8307655224183162,0.23566741035898328,1.0,0.0,0.7744444444444445,0.31277810103220605,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.8308±0.2357,1.0000,0.7744
HYBRID,Hybrid-Best,Hybrid-Best,100,mid,0.8444470752399488,0.23421862347305927,0.9891891891891892,0.10369212315422187,0.7963384813384813,0.2982427764616677,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.8444±0.2342,0.9892,0.7963
HYBRID,Hybrid-Best,Hybrid-Best,200,cold,0.8230445784310952,0.2551991913614094,0.9787610619469026,0.14430766939313647,0.7714364249320002,0.3178648719217156,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.8230±0.2552,0.9788,0.7714
HYBRID,Hybrid-Best,Hybrid-Best,200,heavy,0.8853894949018797,0.20641187229970817,1.0,0.0,0.8472222222222222,0.2734091334948713,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.8854±0.2064,1.0000,0.8472
HYBRID,Hybrid-Best,Hybrid-Best,200,mid,0.8249990669581168,0.24671370466252723,0.9891891891891892,0.10369212315422188,0.771010296010296,0.3149810009599759,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.8250±0.2467,0.9892,0.7710
POP,POP-Context,ContextMostPopular,50,cold,0.2208976094550467,0.31400504917507216,0.40176991150442476,0.4906903338185972,0.16599433345330492,0.288741451335983,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.2209±0.3140,0.4018,0.1660
POP,POP-Context,ContextMostPopular,50,heavy,0.3952027592180715,0.3450429945359395,0.6666666666666666,0.47946330148538413,0.3088540163540163,0.33719874648666576,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.3952±0.3450,0.6667,0.3089
POP,POP-Context,ContextMostPopular,50,mid,0.2500034935754145,0.3211180733665747,0.4648648648648649,0.5001174950080841,0.18498390828112188,0.30106071311666976,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.2500±0.3211,0.4649,0.1850
POP,POP-Context,ContextMostPopular,100,cold,0.2139691931702696,0.31484669729864806,0.3823008849557522,0.48638011732346165,0.16273747578728537,0.28961872824195234,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.2140±0.3148,0.3823,0.1627
POP,POP-Context,ContextMostPopular,100,heavy,0.38468726332521386,0.3522878523091948,0.6333333333333333,0.49013251785356104,0.3046873496873497,0.3403068855935139,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.3847±0.3523,0.6333,0.3047
POP,POP-Context,ContextMostPopular,100,mid,0.24372502480032054,0.32221538213776724,0.4486486486486487,0.4987057279149991,0.18176574506295867,0.3020201379597648,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.2437±0.3222,0.4486,0.1818
POP,POP-Context,ContextMostPopular,200,cold,0.2139691931702696,0.31484669729864806,0.3823008849557522,0.48638011732346165,0.16273747578728537,0.28961872824195234,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.2140±0.3148,0.3823,0.1627
POP,POP-Context,ContextMostPopular,200,heavy,0.38468726332521386,0.3522878523091948,0.6333333333333333,0.49013251785356104,0.3046873496873497,0.3403068855935139,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.3847±0.3523,0.6333,0.3047
POP,POP-Context,ContextMostPopular,200,mid,0.24372502480032054,0.32221538213776724,0.4486486486486487,0.4987057279149991,0.18176574506295867,0.3020201379597648,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.2437±0.3222,0.4486,0.1818
POP,POP-Global,GlobalMostPopular,50,cold,0.2208976094550467,0.31400504917507216,0.40176991150442476,0.4906903338185972,0.16599433345330492,0.288741451335983,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.2209±0.3140,0.4018,0.1660
POP,POP-Global,GlobalMostPopular,50,heavy,0.3952027592180715,0.3450429945359395,0.6666666666666666,0.47946330148538413,0.3088540163540163,0.33719874648666576,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.3952±0.3450,0.6667,0.3089
