model_name,MAX_CANDS,CTX_FILTER,Violation@1,Violation@5,Violation@10
CF-LightGCN,50,ON,0.0,0.0,0.0
CF-LightGCN,100,ON,0.0,0.0,0.0
CF-LightGCN,200,ON,0.0,0.0,0.0
Hybrid-Best,50,ON,0.0,0.0,0.0
Hybrid-Best,100,ON,0.0,0.0,0.0
Hybrid-Best,200,ON,0.0,0.0,0.0
POP-Global (no filter),50,OFF,0.43846153846153846,0.42410256410256414,0.45974358974358975
POP-Global (no filter),100,OFF,0.43846153846153846,0.42410256410256414,0.45974358974358975
POP-Global (no filter),200,OFF,0.43846153846153846,0.42410256410256414,0.45974358974358975
