ลำดับ,ชื่อชุดการแสดง,words
39,ฟ้อนเจิง,"ต่อสู้, ภาคเหนือ, ล้านนา"
40,ฟ้อนดวงเดือน,"การเกี้ยวพาราสี, ชายหนุ่ม, พระนิพนธ์, หญิงสาว, เพลงอัตราจังหวะสองชั้น"
41,ฟ้อนที,"ดนตรีพื้นบ้าน, ภาคเหนือ, แม่ฮ่องสอน"
42,ฟ้อนเทียน,"กลางคืน, จุดไฟ, ภาคเหนือ, หญิงสาว"
43,ฟ้อนผาง,"จุดไฟ, ผางประทีป, ผู้แสดง, ภาคเหนือ, ภาชนะดินเผา, ล้านนา"
44,ฟ้อนมาลัย,"กรมศิลปากร, ข้าหลวง, นางพญาคำปิน, ผู้หญิง, พญาผานอง, พระชายา, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, ราชสำนัก, ละครพันทาง, อาจารย์, เจ้าดารารัศมี, เชียงใหม่, เพลงฟ้อนดวงดอกไม้, เพลงสำเนียงลาว, โรงละครแห่งชาติ"
45,ฟ้อนรัก,"ท้าวพิชัยพิษณุกร, นางรื่น, นางโรย, นายขวัญ, นายแก้ว, พระนิพนธ์, พระพี่เลี้ยง, พระลอ, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, พระเพื่อน, พระแพง, ละครพันทาง, ลิลิตพระลอ, แมนสรวง"
46,ฟ้อนเล็บ,"ผู้มาเยือน, ผู้แสดง, ภาคเหนือ, สีทอง"
47,ฟ้อนสาวไหม,"ดนตรีพื้นบ้าน, ทอผ้า, ผ้าไหม, ภาคเหนือ, สะล้อ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน"
48,ระบำเก็บใบชา,"การเก็บใบชา, การเดินทาง, งานรื่นเริง, ชาวพื้นเมือง, ชาวเขา, ผึ่งแดด, ผู้แสดง, ภาคเหนือ, ใบชา, ไหล่เขา"
49,กระทบสากหรือกระทบไม้,"กระทบไม้, การเกี้ยวพาราสี, ชาวไทย, นิสัย, พระจันทร์, ภาคอีสาน, สากตำข้าว, สุรินทร์, อีสาน, เครื่องประกอบจังหวะ, เต้นสาก"
50,เซิ้งกระติบข้าว,"กระบวนท่ารำ, การดีด, การปั้น, ข้าวเหนียว, ชาวภูไท, ที่รัก, ท่าทาง, หญิงสาว"
51,เซิ้งตังหวาย,"การขับร้อง, ลำตังหวาย, แม่น้ำโขง"
52,เซิ้งไทภูเขา,"การเดินทาง, ขอขมา, ชาวภูไท, ชาวไทย, ผีภู, ภูเขา, ย่านาง, วัตถุดิบ, หน่อไม้, เจ้าที่เจ้าทาง, เทือกเขาภูพาน, ไทภูเขา"
53,เซิ้งโปงลาง,"การเกี้ยวพาราสี, ชายหนุ่ม, ผู้แสดง, สังสรรค์, หญิงสาว, เครื่องดนตรี, โปงลาง"
54,เซิ้งสวิง,"กระบวนท่ารำ, การจับปลา, การประกอบอาชีพ, ท่าทาง, ผู้แสดง, ภาคตะวันออกเฉียงเหนือ, สัตว์น้ำ, หยอกล้อ"
55,ฟ้อนภูไท,"กาฬสินธุ์, ชาวภูไท, ดินแดน, นครพนม, มุกดาหาร, สกลนคร, สัตว์น้ำ, สายสืบ, สีแดง, เทือกเขาภูพาน, แม่น้ำโขง"
56,ฟ้อนภูไท 3 เผ่า,"การเกี้ยวพาราสี, กาฬสินธุ์, ชาวภูไท, ต่อสู้, นครพนม, ผู้แสดง, มวยโบราณ, สกลนคร, เชิงมวย, เทือกเขาภูพาน"
57,ฟ้อนหมากกั๊บแก๊บลำเพลิน,"การขับร้อง, การรบ, ดนตรีพื้นบ้าน, ฟันปลา, ภาคอีสาน, ลำเพลิน, สัตว์น้ำ, หมากกั๊บแก๊บ, หยอกล้อ, อีสาน, เครื่องดนตรี, ไม้ยาว, ไม้สั้น"
58,กราววีรชัยยักษ์,"กองทัพ, ความพร้อมเพรียง, จัดทัพ, ท่าทาง"
59,กราววีรชัยลิง,"กราววีรชัยลิง, กองทัพ, กิริยาอาการ, ความคล่องแคล่ว, ความว่องไว, ซุกซน, ต่อสู้, ท่าทาง, พระราม, วานร, สิบแปดมงกุฎ"
60,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,"กรุงลงกา, กองทัพ, การขึ้นลอย, การรบ, ชั้นเชิง, ทศกัณฐ์, พระราม, พระลักษมณ์, วานร, สงคราม, สีน้ำเงิน, ไพร่พล"
61,การแสดงโขนเรื่องรามเกียรติ์ ตอน  จองถนน,"กรุงลงกา, ขีดขิน, จองถนน, ชามพูวราช, ทะเล, นิมิต, พระราม, พระเมรุ, พลลิง, วานร, วิดน้ำ, สมควร, สำเภา, อาสา, เมืองขีดขิน, เมืองชมพู, ไพร่พล"
62,การแสดงโขนเรื่องรามเกียรติ์ ตอน  นารายณ์ปราบนนทก,"นนทก, นิ้วเพชร, พระนารายณ์, พระศิวะ, พระอิศวร, รับใช้, เขาไกลลาศ, เทวดา"
63,การแสดงโขนเรื่องรามเกียรติ์ ตอน  ศึกแสงอาทิตย์,"กองทัพ, การรบ, การศึก, ทศกัณฐ์, พญาขร, พระพรหม, พระราม, พิเภก, มังกรกัณฐ์, อนุชา, อุบาย, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส"
64,การแสดงโขนเรื่องรามเกียรติ์ ตอน  หนุมานชาญสมร,"กรุงลงกา, กองทัพ, การให้กำเนิด, กุณฑล, ขนเพชร, จำกาย, ทหารเอก, นางสวาหะ, บิดา, ฝากตัว, พระนารายณ์, พระพาย, พระราม, พระศิวะ, พระอิศวร, พละกำลัง, พลับพลา, รับใช้, วานร, สวามิภักดิ์, หนุมาน, อวตาร, เขี้ยวแก้ว"
65,การแสดงโขนเรื่องรามเกียรติ์ ตอน กุมภกรรณพุ่งหอกโมกขศักดิ์,"กรุงลงกา, การยุติ, การศึก, กุมภกรรณ, ขับไล่, ดำรงตำแหน่ง, ทศกัณฐ์, นางสีดา, พระพรหม, พระราม, มัยราพณ์, ยุติธรรม, รับอาสา, ร้ายกาจ, สงคราม, สัจจะ, สีน้ำเงิน, หอกโมกขศักดิ์, อนุชา, อาสา, อุปราช"
66,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,"กรุงลงกา, กะลา, การศึก, ขับไล่, จุดไฟ, ตะวันตก, ทศกัณฐ์, ทำนาย, ทิศตะวันตก, ทิศตะวันออก, นางสีดา, น้ำมันยาง, ปราชัย, พระญาติ, พระราม, พระลาน, พิเภก, รับใช้, ร้อนแรง, สมบัติ, สะเดาะเคราะห์, สำมนักขา, ให้ร้าย, ไฟไหม้, ไส้กะลา"
67,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,"กรุงลงกา, กองทัพ, การยุติ, การศึก, ทศกัณฐ์, ทำนาย, นางสีดา, พระราม, พลับพลา, พิเภก, สงคราม, สะเดาะเคราะห์, สีน้ำเงิน, เบญกาย, แหล่งน้ำ"
68,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระคเณศเสียงา,"ตัวพระ, ต่อสู้, บิดา, ปรศุราม, ปารวตี, พระคเณศ, พระตำหนัก, พระนารายณ์, พระศิวะ, พระอิศวร, อวตาร, เขาไกรลาส, โมโห"
69,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,"กวางทอง, กากนาสูร, ทศกัณฐ์, นางสีดา, พระยา, พระราม, มารีศ, อุบาย, แปลงกาย"
70,การแสดงโขนเรื่องรามเกียรติ์ ตอน พาลีสอนน้อง,"ขีดขิน, ผู้ครองนคร, พระมหากษัตริย์, พระราม, พาลี, รับใช้, สมมุติเทพ, สุครีพ, หลักราชการ, อนุชา, อเนก"
71,การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,"กรุงลงกา, กวางทอง, ขอความช่วยเหลือ, คำบอกเล่า, จำกาย, ทศกัณฐ์, นางสีดา, พระราม, พระลักษมณ์, มารีศ, ฤาษี, สำมนักขา, สีแดง"
72,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกพรหมาสตร์,"กองทัพ, การศึก, การุณราช, กาลสูร, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, พรหมาสตร์, พระราม, พระอินทร์, มังกรกัณฐ์, รุทการ, สังหาร, สิ้นชีวิต, หลงกล, อินทรชิต, เทวดา, แปลงกาย, แสงอาทิตย์, ไพร่พล"
73,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,"กรุงลงกา, การศึก, จารึก, ทศกัณฐ์, ท้าวลัสเตียน, ท้าวสัทธาสูร, นางสีดา, นิลพาหุ, น้องชาย, บิดา, พญาทูษณ์, พระราม, มารดา, รัชฎา, รับอาสา, วานร, วิรุญจำบัง, สงคราม, สัทธาสูร, สีน้ำเงิน, หายตัว, อาสา, เจ้าเมือง, โอรส"
74,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญมุข,"การรบ, การศึก, ขัดตาทัพ, ข่ายเหล็ก, ชามพูวราช, ทศกัณฐ์, พระราม, พระลักษมณ์, พลลิง, พิเภก, มังกรกัณฐ์, รับอาสา, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, สมรภูมิ, หนุมาน, หายตัว, อาสา, อินทรชิต, เขาอังกาศ, เดินอากาศ, โอรส"
75,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกสัทธาสูร,"การรบ, การศึก, ขี่ม้า, ข่ายเพชร, ดินดาล, ต่อสู้, ทศกัณฐ์, พระยา, พระราม, ฟองน้ำ, ภูเขา, วานร, วานรินทร์, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, หนุมาน, หลบหนี, อุบาย, เขาสัตภัณฑ์, เทวดา"
76,การแสดงโขนเรื่องรามเกียรติ์ ตอน สามจับ,"กุมภกรรณ, ต่อสู้, ต้นรัง, ถอยทัพ, สุครีพ, หนุมาน, หมดแรง, องคต, อุบาย, เอาชนะ"
77,การแสดงโขนเรื่องรามเกียรติ์ ตอน สุครีพถอนต้นรัง,"การศึก, กุมภกรรณ, ต้นรัง, ถอยทัพ, ทศกัณฐ์, ทัพหน้า, พลับพลา, สุครีพ, หนุมาน, หมดแรง, องคต, อนุชา, อุบาย, เชษฐา, เอาชนะ"
78,กินนรีร่อนออกมโนราห์บูชายัญ,"กระบวนท่ารำ, กินรี, บูชายัญ, มโนราห์, ละครชาตรี, สระอโนดาต, เล่นน้ำ"
79,เมขลา รามสูร,"การเดินทาง, ดวงแก้ว, ตำนาน, ทะเล, นางฟ้า, มูลเหตุ, รามสูร, ฤดูฝน, วสันตฤดู, อสูร, เทพธิดา, เทพนิยาย, เทพบุตร, เทวดา, เมขลา"
80,รจนาเสี่ยงพวงมาลัย,"บุปเพสันนิวาส, พระสังข์, พวงมาลัย, รจนา, รูปทอง, รูปนอก, สวามี, สังข์ทอง, เจ้าหญิง, เจ้าเงาะ"
81,ระบำกรับ,"กรับพวง, ผู้แสดง, ฝ่ามือ, เครื่องดนตรี"
82,ระบำกฤดาภินิหาร,"กรมศิลปากร, การรบ, นางฟ้า, ศุภลักษณ์, เกียรติศักดิ์ไทย, เทวดา"
83,ระบำกินรีร่อน,"กินรี, ผู้หญิง, สระอโนดาต, เขาไกรลาส"
84,ระบำฉิ่ง,"ผู้แสดง, รัวฉิ่ง, เครื่องดนตรี"
85,ระบำชุดไทยพระราชนิยม,"ฉลองพระองค์, พระบรมราชชนนีพับปีหลวง, ไทยจักรพรรดิ์, ไทยจักรี, ไทยจิตรลดา, ไทยดุสิต, ไทยบรมพิมาน, ไทยศิวาลัย, ไทยอมรินทร์, ไทยเรือนต้น"
86,ระบำดาวดึงส์,"จับระบำ, ดาวดึงส์, ทิพยวิมาน, ผู้แสดง, พระอินทร์, ระบำมาตรฐาน, ละครดึกดำบรรพ์, สังข์ทอง, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ"
87,ระบำเทพบันเทิง,"ผู้แสดง, ระบำมาตรฐาน, ละครใน, องค์ปะตาระกาหลา, อิเหนา, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ"
88,ระบำนพรัตน์,"ทับทิม, บุษราคัม, ผู้แสดง, มรกต, อัญมณี, เพทาย, โกเมน, ไพฑูรย์"
89,ระบำพรมมาสตร์,"กลยุทธ, กลางอากาศ, กองทัพ, การรบ, การศึก, การุณราช, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, พรหมาสตร์, พระลักษมณ์, พระอินทร์, วานร, สงคราม, สีน้ำเงิน, อินทรชิต, เทพบุตร, เทวดา, แปลงกาย, โอรส"
90,ระบำย่องหงิด,"กระบวนท่ารำ, การรบ, การแปร, จับระบำ, นางฟ้า, ละครใน, วาดรูป, ศุภลักษณ์, อาสา, อุณรุท, อุษา, เทพธิดา, เทพบุตร, เทวดา"
91,ระบำวิชนี,"นางใน, ผู้แสดง, ราชสำนัก, วิชนี, สภาพอากาศ, หญิงสาว"
92,ระบำศรีชยสิงห์,"กาญจนบุรี, จารึก, ดินแดน, นางอัปสราบายน, ปราสาทพระขรรค์, ปราสาทเมืองสิงห์, พระเจ้าชัยวรมัน, ภาพจำหลัก, แควน้อย, แหล่งน้ำ"
93,รำซัดชาตรี,"ผู้แสดง, รำคู่, ละครชาตรี, เบิกโรง, ไหว้ครู"
94,รำเบิกโรงดอกไม้เงินทอง,"ดอกไม้เงิน, ผู้แสดง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, ละครใน, สวัสดิมงคล, เบิกโรง, แต่งกายยืนเครื่องพระ"
95,รำประเลง,"ปิดหน้า, ผู้แสดง, รังควาญ, ละครใน, สวัสดิมงคล, หางนกยูง, อิทธิฤทธิ์, อุปสรรค, เทวดา, เบิกโรง, เพลงกลม, เพลงชำนาญ, เพลงหน้าพาทย์, เรื่องใหญ่, เสนียดจัญไร, แต่งกายยืนเครื่องพระ, โคมเวียน"
96,รำฝรั่งคู่,"จีนรัว, จีนรำพัด, ตะเขิ่ง, ผู้แสดง, รำคู่, รำพัด, เจ้าเซ็น, เพลงฉิ่ง, เพลงฝรั่งรำเท้า, เพลงเร็ว, แต่งกายยืนเครื่องพระ"
97,รำพลายชุมพล,"การรบ, การศึก, ขุนช้าง, ขุนแผน, พระไวย, พลายชุมพล, รำเดี่ยว, ละครเสภา, ออกรบ, เพลงมอญดูดาว, แก้แค้น, แตกทัพ"
98,รำมโนห์ราบูชายัญ,"กองไฟ, บินหนี, บูชายัญ, ผู้หญิง, เขาไกรลาส"
99,รำแม่บท,"กระบวนท่ารำ, รำมาตรฐาน, แต่งกายยืนเครื่องพระ, แม่บท"
100,หนุมานจับนางเบญกาย,"การเกี้ยวพาราสี, จับนาง, ทศกัณฐ์, นางสีดา, พระราม, มูลเหตุ, ยักษิณี, ลอยน้ำ, วานร, หนุมาน, หลบหนี, อุบาย, เบญกาย"
101,หนุมานจับนางสุพรรณมัจฉา,"กระบวนท่ารำ, กรุงลงกา, กองทัพ, การเกี้ยวพาราสี, การเดินทาง, ก้อนหิน, จับนาง, นางสีดา, บริวาร, ผู้หญิง, พระราม, มหาสมุทร, มูลเหตุ, วานร, สัตว์น้ำ, สุพรรณมัจฉา, หนุมาน"
102,ระบำเซียงแสน,"การปั้น, จิตรกรรม, ปูนปั้น, พุทธศตวรรษ, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาพจิตรกรรมฝาผนัง, โบราณสถาน"
103,ระบำทวารวดี,"จิตรกรรม, ดินแดน, พุทธศตวรรษ, สมัยทวารวดี, เชื้อชาติ, โบราณวัตถุ"
104,ระบำลพบุรี,"ดินแดน, ทับหลัง, นครราชสีมา, บุรีรัมย์, ปราสาทพนมรุ้ง, ปราสาทหินพิมาย, พุทธศตวรรษ, สมัยลพบุรี, หน้าบัน"
105,ระบำศรีวิชัย,"ชุมพร, ดินแดน, นครศรีธรรมราช, ปัตตานี, พุทธศตวรรษ, มลายู, สมัยศรีวิชัย, หมู่เกาะ, หลักฐาน, อินโดนีเซีย, แหลมมลายู, โบราณวัตถุ"
106,ระบำสุโขทัย,"การปั้น, ปางลีลา, ปูนปั้น, พระพุทธรูป, พุทธศตวรรษ, สมัยสุโขทัย, หล่อสำริด"
107,ฉุยฉายทศกัณฐ์ลงสวน,"กรุงลงกา, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พวงมาลัย"
108,ฉุยฉายเบญกาย,"การยุติ, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พระราม, สงคราม, สีน้ำเงิน, อุบาย, เบญกาย, แปลงกาย"
109,ฉุยฉายพราหมณ์,"ฉุยฉาย, พระคเณศ, พระนารายณ์, พระศิวะ, พระอิศวร, พระอุมา, พราหมณ์), มเหสี, (ฮินดู, เทพเจ้า, เบิกโรง, แปลงกาย"
110,ฉุยฉายยอพระกลิ่น,"การเดินทาง, ความภาคภูมิใจ, ฉุยฉาย, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก, สวามี"
111,ฉุยฉายวันทอง,"การศึก, ขุนแผน, ความภาคภูมิใจ, ความห่วงใย, ฉุยฉาย, บุตรชาย, พระไวย, มารดา, วันทอง, อุบาย, แปลงกาย"
112,ฉุยฉายศูรปนขา,"การเกี้ยวพาราสี, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, น้องสาว, พระราม, ยักษิณี, ศูรปนขา, แปลงกาย"
113,ฉุยฉายหนุมานทรงเครื่อง,"การเดินทาง, ฉุยฉาย, ทศกัณฐ์, ทหารเอก, พระราม, วานร, สงคราม, สีน้ำเงิน, หนุมาน, อุบาย"
114,ชุมนุมฉุยฉาย,"ความภาคภูมิใจ, ฉุยฉาย, ชุมนุม, ผู้แสดง, พราหมณ์)"
